0) AngryMan_v4_bf_100__be_1__bs_0,1) AngryMan_v4_bf_100__be_2__bs_0,2) TitForTat__first_move_1__forgiveness_0,3) TitForTat__first_move_1__forgiveness_5,4) TitForTat__first_move_1__forgiveness_10,5) TitForTat__first_move_1__forgiveness_15,6) TitForTat__first_move_1__forgiveness_20,7) randomDefect__r_0,8) randomDefect__r_0,9) randomDefect__r_20,10) AngryMan_v6_bf_100__be_1__bs_0,11) AngryMan_v6_bf_100__be_1__bs_0,12) AngryMan_v7_bf_2,13) TitForTatwDishonesty__forgiveness_5,14) TitForTatwDishonesty__forgiveness_10,15) TitForTatwDishonesty__forgiveness_15,16) TitForTatwDishonesty__forgiveness_20
83425.0,64415.0,100035.0,128430.0,142355.0,102905.0,140255.0,8390.0,8905.0,21360.0,112010.0,136770.0,86020.0,104860.0,128355.0,116515.0,116850.0
89210.0,104470.0,124420.0,120810.0,120945.0,76245.0,99460.0,32430.0,31570.0,39305.0,89650.0,103580.0,104075.0,95210.0,111560.0,114465.0,97295.0
74385.0,71085.0,143345.0,150460.0,126100.0,128825.0,139285.0,17195.0,23900.0,22115.0,123415.0,118415.0,114070.0,115500.0,125980.0,150795.0,117830.0
59550.0,52525.0,93945.0,116280.0,102080.0,128680.0,132825.0,9670.0,9415.0,22165.0,97280.0,118515.0,116340.0,119645.0,95330.0,142935.0,142695.0
80595.0,62635.0,118885.0,120485.0,138105.0,104700.0,115495.0,13375.0,18740.0,19430.0,140365.0,85795.0,111890.0,105950.0,114385.0,113650.0,105655.0
115630.0,91355.0,113450.0,112180.0,93955.0,87400.0,91890.0,40315.0,64920.0,66175.0,86355.0,77150.0,48340.0,86790.0,74070.0,68650.0,86525.0
43300.0,69520.0,123430.0,117470.0,113645.0,157155.0,129495.0,8030.0,8235.0,20550.0,123215.0,111475.0,129685.0,124470.0,127785.0,120705.0,130655.0
64195.0,84455.0,132890.0,143060.0,97475.0,136695.0,132300.0,8410.0,8660.0,21920.0,141010.0,127845.0,137505.0,120710.0,123385.0,134980.0,115850.0
70815.0,90175.0,113760.0,141550.0,118910.0,143875.0,143370.0,9490.0,8830.0,20525.0,132650.0,108880.0,95500.0,102215.0,124940.0,125245.0,113415.0
87735.0,82185.0,105035.0,127550.0,142915.0,121965.0,132935.0,7800.0,8910.0,21525.0,140085.0,127580.0,139445.0,124735.0,129300.0,127535.0,116415.0
53355.0,38145.0,107895.0,115660.0,124830.0,122840.0,120750.0,7570.0,8235.0,20965.0,152230.0,95635.0,101600.0,95160.0,131695.0,140585.0,130775.0
80305.0,40765.0,91290.0,122905.0,122065.0,130035.0,139770.0,8885.0,8300.0,21240.0,92805.0,99460.0,101250.0,122005.0,108870.0,130270.0,137630.0
112110.0,98370.0,98550.0,123645.0,125215.0,97935.0,140735.0,20290.0,12690.0,24470.0,135460.0,113710.0,103695.0,117240.0,101770.0,138095.0,162410.0
69270.0,87700.0,107545.0,99785.0,132175.0,143015.0,122255.0,17250.0,16585.0,26025.0,95415.0,89305.0,89175.0,131290.0,122135.0,121790.0,142275.0
86965.0,96710.0,91405.0,80260.0,118615.0,124925.0,149365.0,50970.0,61865.0,53360.0,72900.0,87555.0,83655.0,91320.0,75935.0,96480.0,97715.0
88645.0,78270.0,116225.0,119635.0,104280.0,133905.0,137730.0,10325.0,10650.0,21365.0,128840.0,128450.0,108555.0,125495.0,132745.0,136410.0,139995.0
103285.0,128940.0,111690.0,108255.0,97220.0,125990.0,128295.0,32960.0,21785.0,27135.0,97730.0,120295.0,117725.0,115080.0,125985.0,136990.0,124520.0
68705.0,76280.0,101750.0,115130.0,123260.0,147100.0,135765.0,13625.0,13960.0,24965.0,116915.0,95635.0,124740.0,104540.0,123135.0,101535.0,121830.0
69825.0,52185.0,110025.0,120180.0,130765.0,142580.0,129440.0,7805.0,8005.0,21830.0,95970.0,139855.0,120030.0,100415.0,135105.0,108670.0,111995.0
109800.0,93900.0,121770.0,127420.0,108555.0,111550.0,132875.0,10645.0,16515.0,27630.0,120755.0,92285.0,114065.0,118765.0,131960.0,119360.0,133120.0
82005.0,85255.0,121250.0,115900.0,132965.0,122185.0,137090.0,9805.0,9070.0,21420.0,98280.0,92320.0,123170.0,127260.0,126115.0,143650.0,119005.0
140525.0,107130.0,142610.0,130845.0,135205.0,147205.0,146440.0,16210.0,27160.0,30170.0,138795.0,91885.0,103070.0,118085.0,123960.0,111730.0,132540.0
57440.0,43665.0,89990.0,132285.0,126445.0,95575.0,125665.0,8025.0,8185.0,21210.0,120850.0,81595.0,104945.0,118730.0,96480.0,95450.0,108560.0
77205.0,51800.0,118320.0,129010.0,132865.0,129295.0,170275.0,7985.0,7830.0,20455.0,141575.0,127385.0,169550.0,148365.0,142955.0,164365.0,177435.0
89740.0,94365.0,105620.0,160390.0,173715.0,176360.0,155890.0,8725.0,7800.0,20225.0,174400.0,163785.0,172300.0,143380.0,167695.0,150710.0,157700.0
61120.0,100860.0,98445.0,138935.0,132210.0,146355.0,149715.0,8120.0,8725.0,21480.0,126535.0,102830.0,110775.0,137815.0,153700.0,159665.0,138680.0
82040.0,80470.0,110605.0,145095.0,140930.0,138035.0,135090.0,9310.0,10005.0,21490.0,130600.0,118630.0,135370.0,155990.0,114515.0,171785.0,152600.0
86270.0,47100.0,76875.0,108990.0,137780.0,107400.0,,11690.0,,,92540.0,,,,,,
46240.0,40070.0,90195.0,84755.0,128660.0,106770.0,,7505.0,,,98775.0,,,,,,
84570.0,64205.0,83805.0,93970.0,90895.0,116625.0,,29185.0,,,78505.0,,,,,,
50180.0,55040.0,73100.0,99660.0,109520.0,81170.0,,29410.0,,,84770.0,,,,,,
46405.0,71890.0,87730.0,86450.0,130075.0,85300.0,,12380.0,,,93375.0,,,,,,
117250.0,77485.0,124705.0,106015.0,73970.0,89995.0,,25935.0,,,55840.0,,,,,,
38495.0,37575.0,85145.0,84015.0,85970.0,105580.0,,7525.0,,,104855.0,,,,,,
87865.0,60905.0,92060.0,92045.0,95785.0,109535.0,,6960.0,,,95295.0,,,,,,
92255.0,75355.0,71705.0,84825.0,80105.0,124385.0,,21415.0,,,103390.0,,,,,,
103300.0,93530.0,72875.0,133700.0,118180.0,100125.0,,19310.0,,,113320.0,,,,,,
109945.0,99890.0,115705.0,124955.0,94900.0,110180.0,,19895.0,,,102610.0,,,,,,
89515.0,65640.0,82685.0,105395.0,121485.0,120055.0,,20130.0,,,103845.0,,,,,,
95705.0,94985.0,99330.0,142500.0,109940.0,115305.0,,26310.0,,,95560.0,,,,,,
74435.0,90965.0,134430.0,127200.0,118715.0,106895.0,,8180.0,,,102175.0,,,,,,
97150.0,75805.0,97165.0,98640.0,115350.0,79560.0,,30745.0,,,117570.0,,,,,,
82205.0,60300.0,112175.0,89375.0,88700.0,108860.0,,7260.0,,,92710.0,,,,,,
34315.0,65825.0,91790.0,103855.0,142175.0,96310.0,,7575.0,,,91865.0,,,,,,
88905.0,73430.0,135930.0,109080.0,106200.0,77780.0,,33405.0,,,133230.0,,,,,,
127350.0,98905.0,116555.0,140620.0,144650.0,132780.0,,26085.0,,,126355.0,,,,,,
77375.0,75460.0,100755.0,137710.0,112120.0,95325.0,,12255.0,,,109245.0,,,,,,
85880.0,112340.0,99435.0,123055.0,120735.0,99145.0,,24035.0,,,92015.0,,,,,,
81635.0,68610.0,106080.0,131185.0,106755.0,115300.0,,6930.0,,,122055.0,,,,,,
62105.0,70595.0,93965.0,113905.0,134100.0,112660.0,,10645.0,,,125320.0,,,,,,
117825.0,84040.0,119000.0,112255.0,112740.0,86920.0,,27295.0,,,86000.0,,,,,,
79415.0,86355.0,115040.0,116770.0,95865.0,138925.0,,7460.0,,,106005.0,,,,,,
63315.0,76960.0,102430.0,133055.0,98310.0,135665.0,,7455.0,,,110390.0,,,,,,
58415.0,41300.0,112255.0,108660.0,106750.0,122610.0,,7485.0,,,99420.0,,,,,,
111725.0,71095.0,113620.0,75090.0,115850.0,127785.0,,26910.0,,,118355.0,,,,,,
58860.0,57615.0,107395.0,141045.0,113120.0,114670.0,,7825.0,,,78095.0,,,,,,
52495.0,78345.0,73135.0,100880.0,100580.0,126015.0,,7485.0,,,82085.0,,,,,,
73345.0,46465.0,121045.0,107860.0,132625.0,114000.0,,7215.0,,,93160.0,,,,,,
57310.0,67455.0,108555.0,103445.0,81915.0,100025.0,,6535.0,,,78670.0,,,,,,
88355.0,69685.0,96585.0,111770.0,107735.0,119215.0,,19210.0,,,99155.0,,,,,,
76730.0,81325.0,109805.0,114930.0,106770.0,120400.0,,6185.0,,,104880.0,,,,,,
92845.0,63765.0,97480.0,120745.0,132450.0,111475.0,,7235.0,,,110510.0,,,,,,
53235.0,67595.0,94040.0,100520.0,119845.0,105320.0,,6185.0,,,119715.0,,,,,,
139975.0,129450.0,171070.0,114520.0,147650.0,119125.0,,23135.0,,,123750.0,,,,,,
57630.0,71145.0,94740.0,100200.0,107205.0,128535.0,,7285.0,,,115440.0,,,,,,
60080.0,67070.0,86750.0,90915.0,100635.0,111845.0,,7780.0,,,99200.0,,,,,,
60180.0,28155.0,97790.0,141260.0,99950.0,132090.0,,15845.0,,,93850.0,,,,,,
94205.0,52875.0,84605.0,110965.0,108870.0,111815.0,,18525.0,,,111830.0,,,,,,
51540.0,89885.0,159920.0,147340.0,153810.0,144125.0,,6405.0,,,172205.0,,,,,,
86175.0,86340.0,121730.0,177225.0,184005.0,164305.0,,32740.0,,,108760.0,,,,,,
32575.0,24190.0,,,,,,,,,,,,,,,
36920.0,41695.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
94700.0,,,,,,,82170.0,,,,,,,,,87330.0
44790.0,,,,,,,,,,,,,,,,
116285.0,,,,,,,,,,,,,,,,
125680.0,,,,,,,52555.0,,,,,,,,,
67165.0,,,,,,,63730.0,,,,,,,,,
27445.0,,,,,,,20770.0,,,,,,,,,
55810.0,,,,,,,51880.0,,,,,,,,,
